TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
3,1,80,0,0,0,0,1,6,3,1,11,7,5,8,19,19,35,35,16,19,0,0,0,5,30,35,0,35,0,0,0,1,7,6,7,4,5,5,21,1,5,1,1,6,35,0,1
2,5,83,3,4,2,3,21,12,16,7,8,3,2,1,0,1,190,186,79,107,0,0,41,98,47,49,0,49,74,63,12,27,28,37,35,18,18,11,131,4,48,1,0,2,186,0,0
1,2,649,3,21,3,5,139,111,147,90,58,44,13,8,4,3,1208,950,471,479,0,18,32,273,627,900,509,391,50,0,56,108,126,109,105,133,119,194,63,8,58,0,0,821,940,10,1
1,5,668,2,9,13,37,148,167,87,72,50,39,14,15,7,8,574,574,304,270,0,0,175,224,175,222,0,222,250,102,12,85,96,94,97,73,64,53,86,1,11,0,1,475,574,0,0
1,2,378,0,0,10,28,121,74,90,55,0,0,0,0,0,0,270,270,164,106,0,25,58,111,76,116,1,115,124,30,1,17,46,48,62,31,29,36,137,12,108,2,0,11,270,0,2
3,2,55,1,1,0,1,5,2,18,18,3,2,0,3,0,1,150,150,40,110,0,0,32,67,51,48,14,34,44,58,0,3,5,17,13,24,28,60,106,3,4,1,0,36,150,0,1
3,2,70,0,1,2,1,26,8,19,9,3,1,0,0,0,0,418,415,177,238,0,7,87,182,139,25,21,4,211,179,1,2,17,38,50,57,83,167,337,5,15,33,0,25,413,2,1
3,2,17,0,0,0,0,1,1,7,3,3,1,0,1,0,0,111,110,25,85,0,0,26,54,30,15,3,12,65,30,1,5,13,15,14,9,21,32,100,1,6,1,0,2,109,1,0
3,2,21,0,0,0,0,2,3,8,8,0,0,0,0,0,0,100,99,34,65,0,0,20,47,32,9,0,9,0,90,0,4,5,14,11,18,14,33,81,1,12,0,0,5,99,0,1
3,2,29,0,0,0,0,2,3,11,4,1,7,0,1,0,0,91,89,27,62,0,1,19,43,26,30,25,5,31,28,1,4,5,14,15,13,15,22,78,1,3,1,0,6,89,0,0
